iter	Passed	Remaining
0	3	3170
1	5	2918
2	8	2775
3	11	2745
4	15	3021
5	18	3026
6	21	2982
7	25	3125
8	27	3031
9	31	3106
10	34	3057
11	36	3029
12	39	3023
13	42	2981
14	44	2933
15	48	2968
16	52	3024
17	54	2997
18	57	2952
19	59	2934
20	63	2940
21	65	2907
22	67	2870
23	70	2851
24	72	2835
25	74	2803
26	77	2776
27	80	2788
28	82	2771
29	85	2750
30	87	2730
31	89	2713
32	92	2700
33	95	2719
34	98	2721
35	101	2721
36	103	2706
37	106	2696
38	108	2675
39	111	2686
40	114	2671
41	116	2661
42	119	2658
43	121	2650
44	124	2637
45	127	2645
46	130	2637
47	132	2627
48	134	2613
49	137	2607
50	139	2595
51	142	2601
52	145	2601
53	148	2600
54	151	2601
55	154	2597
56	156	2593
57	159	2588
58	161	2576
59	163	2563
60	166	2556
61	168	2550
62	170	2542
63	173	2533
64	177	2546
65	179	2536
66	181	2528
67	183	2521
68	186	2519
69	189	2512
70	192	2519
71	194	2510
72	197	2501
73	199	2493
74	201	2484
75	203	2477
76	206	2470
77	209	2474
78	211	2466
79	213	2457
80	216	2451
81	218	2445
82	220	2436
83	222	2429
84	225	2427
85	227	2417
86	229	2410
87	231	2402
88	234	2395
89	236	2390
90	238	2386
91	241	2385
92	243	2378
93	246	2373
94	248	2367
95	250	2359
96	252	2353
97	255	2350
98	257	2343
99	259	2335
100	261	2329
101	263	2324
102	266	2318
103	268	2313
104	270	2309
105	273	2308
106	275	2301
107	277	2295
108	280	2289
109	281	2281
110	284	2275
111	286	2270
112	289	2275
113	292	2269
114	294	2265
115	296	2262
116	299	2257
117	301	2253
118	303	2248
119	306	2246
120	308	2240
121	310	2235
122	312	2231
123	315	2226
124	317	2223
125	320	2220
126	322	2218
127	324	2213
128	327	2210
129	329	2206
130	332	2202
131	334	2197
132	337	2199
133	339	2194
134	341	2190
135	344	2187
136	346	2183
137	348	2178
138	351	2174
139	353	2173
140	355	2167
141	358	2163
142	360	2159
143	362	2154
144	364	2149
145	366	2145
146	370	2147
147	372	2143
148	374	2140
149	377	2139
150	379	2134
151	382	2131
152	384	2130
153	387	2128
154	389	2123
155	392	2121
156	394	2117
157	396	2114
158	399	2111
159	402	2113
160	405	2110
161	407	2107
162	409	2102
163	411	2098
164	413	2093
165	415	2089
166	418	2088
167	420	2084
168	423	2080
169	425	2076
170	427	2072
171	429	2068
172	431	2064
173	434	2064
