iter	Passed	Remaining
174	437	2060
175	439	2056
176	441	2051
177	443	2048
178	445	2044
179	447	2040
180	450	2038
181	452	2034
182	454	2029
183	456	2026
184	459	2023
185	461	2019
186	463	2016
187	466	2016
188	468	2012
189	471	2008
190	473	2004
191	475	2000
192	477	1997
193	479	1993
194	483	1994
195	485	1990
196	487	1988
197	489	1984
198	492	1980
199	494	1977
200	496	1974
201	499	1974
202	501	1970
203	504	1967
204	506	1964
205	509	1961
206	511	1958
207	514	1957
208	516	1954
209	518	1950
210	520	1947
211	523	1944
212	525	1940
213	527	1938
214	530	1936
215	532	1932
216	534	1929
217	536	1925
218	538	1921
219	541	1918
220	543	1915
221	546	1913
222	548	1910
223	550	1907
224	553	1905
225	555	1903
226	558	1900
227	560	1897
228	563	1897
229	565	1893
230	568	1891
231	570	1887
232	572	1883
233	574	1880
234	576	1877
235	579	1877
236	581	1873
237	584	1870
238	586	1868
239	588	1864
240	590	1861
241	593	1857
242	596	1856
243	598	1853
244	600	1850
245	602	1847
246	605	1844
247	607	1841
248	609	1839
249	612	1837
250	614	1833
251	616	1830
252	618	1827
253	620	1823
254	623	1820
255	625	1818
256	628	1816
257	630	1813
258	632	1810
259	634	1806
260	636	1803
261	639	1800
262	641	1797
263	643	1794
264	645	1791
265	648	1788
266	650	1785
267	652	1781
268	654	1779
269	657	1776
270	660	1775
271	662	1772
272	664	1769
273	666	1767
274	669	1764
275	671	1761
276	673	1758
277	676	1756
278	678	1753
279	680	1750
280	683	1747
281	685	1745
282	687	1742
283	690	1740
284	692	1738
285	694	1734
286	697	1731
287	699	1728
288	701	1726
289	704	1723
290	706	1722
291	709	1719
292	711	1716
293	713	1714
294	716	1711
295	718	1708
296	720	1705
297	723	1704
298	725	1701
299	727	1698
300	730	1695
301	732	1692
302	734	1689
303	736	1686
304	739	1685
305	741	1682
306	744	1679
307	746	1676
308	748	1673
309	750	1670
310	752	1667
311	755	1665
312	757	1663
313	760	1660
314	762	1658
315	764	1655
316	766	1652
317	769	1649
318	771	1647
319	774	1645
320	776	1642
321	778	1639
322	780	1636
323	783	1633
324	785	1630
325	787	1628
326	790	1626
327	792	1623
328	794	1620
329	796	1617
330	799	1616
331	802	1614
332	805	1613
333	807	1611
334	810	1608
335	812	1605
336	814	1603
337	817	1600
338	820	1600
339	823	1597
340	825	1594
341	827	1592
342	829	1589
343	831	1586
344	834	1583
345	837	1582
346	839	1579
347	841	1576
348	843	1573
349	846	1571
350	848	1568
351	850	1565
352	853	1564
353	855	1561
354	858	1559
355	860	1556
356	862	1553
357	864	1550
358	867	1548
359	870	1547
360	872	1544
361	874	1541
362	877	1539
363	879	1536
364	881	1533
365	883	1530
366	886	1529
367	888	1526
368	891	1523
369	893	1520
370	895	1518
371	897	1515
372	900	1513
373	903	1511
374	905	1509
375	907	1506
376	909	1503
377	912	1501
378	914	1498
379	918	1497
380	920	1495
381	922	1492
382	924	1490
383	927	1487
384	929	1483
385	931	1481
386	934	1479
387	936	1476
388	938	1473
389	940	1471
390	942	1468
391	944	1465
392	947	1462
393	950	1461
394	952	1458
395	954	1455
396	956	1452
397	959	1450
398	961	1448
399	963	1445
400	966	1444
401	969	1441
402	971	1439
403	973	1436
404	976	1433
405	978	1431
406	980	1428
407	983	1426
408	985	1423
409	987	1420
410	989	1418
411	991	1415
412	993	1412
413	995	1409
414	998	1408
415	1001	1405
416	1003	1402
417	1005	1399
418	1007	1397
419	1009	1394
420	1011	1391
421	1015	1390
422	1017	1387
423	1019	1385
424	1021	1382
425	1023	1379
426	1026	1377
427	1028	1374
428	1030	1371
429	1033	1369
430	1035	1366
431	1037	1363
432	1039	1361
433	1041	1358
434	1043	1355
435	1046	1354
436	1049	1351
437	1051	1349
438	1053	1346
439	1055	1343
440	1058	1341
441	1060	1338
442	1063	1337
443	1066	1335
444	1068	1332
445	1071	1330
446	1073	1328
447	1076	1326
448	1080	1326
449	1083	1324
450	1086	1322
451	1088	1319
452	1091	1317
453	1094	1316
454	1097	1314
455	1100	1312
456	1102	1310
457	1104	1307
458	1107	1304
459	1109	1302
460	1113	1301
461	1115	1299
462	1118	1297
463	1120	1294
464	1122	1291
465	1125	1289
466	1128	1288
467	1131	1286
468	1133	1283
469	1136	1281
470	1138	1278
471	1141	1276
472	1144	1275
473	1146	1272
474	1149	1270
475	1151	1267
476	1153	1264
477	1155	1262
478	1159	1260
479	1161	1258
480	1163	1255
481	1165	1253
482	1168	1250
483	1170	1247
484	1173	1245
485	1176	1244
486	1178	1241
487	1181	1239
488	1183	1236
489	1185	1233
490	1188	1231
491	1191	1230
492	1194	1228
493	1196	1225
494	1198	1223
495	1201	1220
496	1203	1217
497	1205	1215
498	1208	1213
499	1210	1210
500	1212	1208
501	1215	1205
502	1217	1202
503	1219	1200
504	1222	1198
505	1224	1195
506	1226	1193
507	1228	1190
508	1231	1187
509	1233	1184
510	1235	1182
511	1237	1179
512	1240	1177
513	1242	1174
514	1245	1172
515	1247	1170
516	1249	1167
517	1251	1164
518	1254	1162
519	1256	1160
520	1259	1157
521	1261	1155
522	1263	1152
523	1265	1149
524	1267	1147
525	1270	1144
526	1273	1142
527	1275	1139
528	1277	1137
529	1279	1134
530	1281	1131
531	1283	1129
532	1286	1127
533	1289	1125
534	1291	1122
535	1293	1119
536	1295	1117
537	1298	1114
538	1300	1112
539	1303	1110
540	1305	1107
541	1307	1105
542	1310	1102
543	1312	1100
544	1314	1097
545	1316	1094
546	1319	1092
547	1321	1090
548	1324	1087
549	1326	1085
550	1328	1082
551	1330	1080
552	1333	1077
553	1336	1076
554	1339	1073
555	1341	1071
556	1343	1068
557	1346	1066
558	1348	1064
559	1351	1062
560	1354	1059
561	1356	1057
562	1359	1054
563	1361	1052
564	1363	1049
565	1365	1047
566	1369	1045
567	1371	1043
568	1373	1040
569	1376	1038
570	1378	1035
571	1381	1033
572	1384	1031
573	1386	1029
574	1389	1026
575	1391	1024
576	1393	1021
577	1396	1019
578	1398	1016
579	1401	1014
580	1403	1012
581	1405	1009
582	1407	1006
583	1409	1004
584	1412	1001
585	1414	999
586	1416	996
587	1418	994
588	1420	991
589	1423	988
590	1425	986
591	1427	983
592	1429	981
593	1432	979
594	1434	976
595	1437	974
596	1439	971
597	1441	968
598	1443	966
599	1446	964
600	1449	962
601	1451	959
602	1454	957
603	1456	954
604	1458	952
605	1460	949
606	1463	947
607	1466	945
608	1468	942
609	1470	940
610	1472	937
611	1474	935
612	1477	932
613	1479	930
614	1482	928
615	1484	925
616	1487	923
617	1489	920
618	1491	918
619	1493	915
620	1497	914
621	1500	912
622	1503	909
623	1505	906
624	1507	904
625	1509	901
626	1511	899
627	1514	896
628	1516	894
629	1518	891
630	1520	889
631	1523	886
632	1525	884
633	1527	882
634	1530	879
635	1532	877
636	1535	874
637	1537	872
638	1539	869
639	1541	867
640	1544	865
641	1547	862
642	1549	860
643	1551	857
644	1554	855
645	1556	853
646	1559	850
647	1562	848
648	1564	846
649	1567	843
650	1569	841
651	1571	838
652	1573	836
653	1576	833
654	1579	831
655	1581	829
656	1584	827
657	1586	824
658	1588	822
659	1590	819
660	1594	817
661	1596	815
662	1598	812
663	1600	810
664	1603	807
665	1605	805
666	1608	802
667	1610	800
668	1612	798
669	1614	795
670	1617	792
671	1619	790
672	1621	788
673	1624	785
674	1627	783
675	1629	780
676	1631	778
677	1634	776
678	1636	773
679	1638	771
680	1641	768
681	1644	766
682	1646	764
683	1648	761
684	1650	759
685	1652	756
686	1655	754
687	1658	751
688	1660	749
689	1662	747
690	1665	744
691	1667	742
692	1669	739
693	1671	736
694	1674	734
695	1677	732
696	1679	730
697	1681	727
698	1683	724
699	1685	722
700	1687	719
701	1691	717
702	1693	715
703	1695	712
704	1697	710
705	1700	708
706	1702	705
707	1705	703
708	1707	700
709	1709	698
710	1711	695
711	1714	693
712	1716	691
713	1719	688
714	1721	686
715	1724	684
716	1726	681
717	1728	679
718	1731	676
719	1733	674
720	1735	671
721	1739	669
722	1741	667
723	1744	664
724	1746	662
725	1748	659
726	1750	657
727	1753	655
728	1756	652
729	1758	650
730	1760	647
731	1762	645
732	1765	642
733	1767	640
734	1771	638
735	1773	636
736	1775	633
737	1777	631
738	1779	628
739	1782	626
740	1784	623
741	1787	621
742	1790	619
743	1792	616
744	1794	614
745	1796	611
746	1798	609
747	1801	606
748	1803	604
749	1806	602
750	1808	599
751	1810	597
752	1812	594
753	1814	592
754	1816	589
755	1820	587
756	1822	585
757	1824	582
758	1827	580
759	1829	577
760	1831	575
761	1834	572
762	1836	570
763	1839	568
764	1841	565
765	1843	563
766	1845	560
767	1847	558
768	1850	555
769	1852	553
770	1855	551
771	1857	548
772	1859	546
773	1861	543
774	1863	541
775	1866	538
776	1869	536
777	1871	534
778	1874	531
779	1876	529
780	1878	526
781	1881	524
782	1884	522
783	1886	519
784	1888	517
785	1890	514
786	1892	512
787	1895	509
788	1897	507
789	1900	505
790	1902	502
791	1904	500
792	1907	497
793	1910	495
794	1912	493
795	1915	490
796	1917	488
797	1920	486
798	1922	483
799	1924	481
800	1926	478
801	1929	476
802	1932	474
803	1935	471
804	1937	469
805	1939	466
806	1941	464
807	1943	461
808	1946	459
809	1949	457
810	1951	454
811	1953	452
812	1955	449
813	1958	447
814	1960	444
815	1962	442
816	1965	440
817	1968	437
818	1970	435
819	1973	433
820	1975	430
821	1977	428
822	1980	425
823	1983	423
824	1985	421
825	1987	418
826	1990	416
827	1992	413
828	1994	411
829	1996	408
830	1998	406
831	2001	404
832	2003	401
833	2005	399
834	2007	396
835	2010	394
836	2013	392
837	2015	389
838	2017	387
839	2019	384
840	2022	382
841	2024	379
842	2026	377
843	2029	375
844	2031	372
845	2034	370
846	2036	367
847	2038	365
848	2041	363
849	2043	360
850	2046	358
851	2048	355
852	2050	353
853	2052	350
854	2055	348
855	2057	346
856	2060	343
857	2062	341
858	2064	338
859	2067	336
860	2069	334
861	2071	331
862	2074	329
863	2076	326
864	2078	324
865	2080	321
866	2083	319
867	2085	317
868	2087	314
869	2090	312
870	2092	309
871	2094	307
872	2096	305
873	2099	302
874	2101	300
875	2104	297
876	2106	295
877	2109	293
878	2112	290
879	2114	288
880	2116	285
881	2118	283
882	2121	281
883	2123	278
884	2126	276
885	2128	273
886	2130	271
887	2132	269
888	2134	266
889	2137	264
890	2140	261
891	2143	259
892	2145	257
893	2147	254
894	2150	252
895	2152	249
896	2154	247
897	2157	245
898	2159	242
899	2162	240
900	2164	237
901	2166	235
902	2169	232
903	2171	230
904	2174	228
905	2177	225
906	2179	223
907	2181	221
908	2183	218
909	2186	216
910	2188	213
911	2190	211
912	2192	208
913	2195	206
914	2197	204
915	2200	201
916	2202	199
917	2205	196
918	2207	194
919	2209	192
920	2212	189
921	2214	187
922	2216	184
923	2218	182
924	2222	180
925	2224	177
926	2226	175
927	2229	172
928	2231	170
929	2233	168
930	2235	165
931	2238	163
932	2240	160
933	2242	158
934	2245	156
935	2247	153
936	2250	151
937	2252	148
938	2255	146
939	2257	144
940	2260	141
941	2262	139
942	2264	136
943	2266	134
944	2269	132
945	2272	129
946	2274	127
947	2276	124
948	2279	122
949	2281	120
950	2283	117
951	2286	115
952	2288	112
953	2290	110
954	2292	108
955	2295	105
956	2297	103
957	2299	100
958	2302	98
959	2305	96
960	2307	93
961	2310	91
962	2312	88
963	2315	86
964	2318	84
965	2320	81
966	2323	79
967	2325	76
968	2328	74
969	2330	72
970	2333	69
971	2336	67
972	2338	64
973	2340	62
974	2343	60
975	2345	57
976	2348	55
977	2351	52
978	2354	50
979	2356	48
980	2359	45
981	2362	43
982	2364	40
983	2368	38
984	2370	36
985	2373	33
986	2375	31
987	2377	28
988	2380	26
989	2382	24
990	2385	21
991	2388	19
992	2390	16
993	2392	14
994	2395	12
995	2397	9
996	2400	7
997	2403	4
998	2405	2
999	2408	0
