iter	RMSE
349	48.71665314
350	48.69440446
351	48.67442775
352	48.65929001
353	48.64020629
354	48.61355595
355	48.58551068
356	48.55121592
357	48.52588725
358	48.50576864
359	48.48300696
360	48.46030123
361	48.4512334
362	48.41842563
363	48.40423792
364	48.3596111
365	48.33316507
366	48.30895229
367	48.28364068
368	48.26452059
369	48.24404623
370	48.22878401
371	48.20627443
372	48.1814227
373	48.15842415
374	48.12560913
375	48.10216438
376	48.07931047
377	48.05464159
378	48.03006008
379	48.00916022
380	47.99363425
381	47.97063146
382	47.95358792
383	47.93335769
384	47.90763397
385	47.87806271
386	47.85040356
387	47.82518645
388	47.80251015
389	47.77789814
390	47.76233898
391	47.74253574
392	47.72993075
393	47.710801
394	47.69817848
395	47.68145596
396	47.6665856
397	47.64621477
398	47.62217787
399	47.60471224
400	47.58354523
401	47.54438874
402	47.51774658
403	47.49907688
404	47.47227523
405	47.45537736
406	47.43512938
407	47.42326675
408	47.39915636
409	47.38097279
410	47.34958671
411	47.32207335
412	47.28708952
413	47.27388762
414	47.23068795
415	47.20370178
416	47.18480362
417	47.16463
418	47.14470566
419	47.12163772
420	47.09929684
421	47.07877246
422	47.06184414
423	47.03322712
424	47.01786402
425	47.00220985
426	46.98115724
427	46.96813624
428	46.95694338
429	46.94018936
430	46.92982299
431	46.91613333
432	46.90508174
433	46.8801981
434	46.86369593
435	46.84737283
436	46.82391663
437	46.80045103
438	46.77404665
439	46.75252825
440	46.72729672
441	46.71242539
442	46.696846
443	46.68010459
444	46.65731819
445	46.64612087
446	46.63172636
447	46.61369418
448	46.60152425
449	46.58250856
450	46.56165884
451	46.54813703
452	46.52936183
453	46.50558953
454	46.48720886
455	46.46401133
456	46.44699149
457	46.42682674
458	46.40432761
459	46.38747219
460	46.36703659
461	46.33620699
462	46.31596526
463	46.29391578
464	46.27361399
465	46.24186548
466	46.22709305
467	46.21410799
468	46.19533451
469	46.17800208
470	46.14775907
471	46.13637199
472	46.11990862
473	46.10422894
474	46.09044546
475	46.07999684
476	46.04933519
477	46.03616942
478	46.02092659
479	46.00021423
480	45.98381112
481	45.97416663
482	45.95853025
483	45.94255597
484	45.92820809
485	45.91995659
486	45.90018062
487	45.88261826
488	45.86027149
489	45.84390192
490	45.826824
491	45.80018749
492	45.78025196
493	45.76227535
494	45.74425266
495	45.73552534
496	45.72413583
497	45.71015437
498	45.6862482
499	45.67293999
500	45.65153949
501	45.64581473
502	45.62676385
503	45.61652086
504	45.59114194
505	45.57044526
506	45.55680437
507	45.53987507
508	45.51890832
509	45.50902929
510	45.49553342
511	45.47567808
512	45.45496605
513	45.43626858
514	45.4180066
515	45.40927287
516	45.39716484
517	45.38089514
518	45.36418235
519	45.35828197
520	45.34707175
521	45.33096465
522	45.28694481
523	45.27535954
524	45.2640319
525	45.24801548
526	45.23671357
527	45.22685241
528	45.20715991
529	45.19120647
530	45.1824347
531	45.17458874
532	45.14751468
533	45.13602676
534	45.12957439
